2025-04-18 17:48:13 | Order ID: BUG2504187FCAB | Amount: 800000 | URL: ?vnp_Amount=80000000&vnp_Command=pay&vnp_CreateDate=20250418174813&vnp_CurrCode=VND&vnp_IpAddr=%3A%3A1&vnp_Locale=vn&vnp_OrderInfo=Thanh+toan+don+hang+BUG2504187FCAB+tai+Bug+Shop&vnp_OrderType=other&vnp_ReturnUrl=&vnp_TmnCode=&vnp_TxnRef=BUG2504187FCAB&vnp_Version=2.1.0&vnp_SecureHash=957393a839c8a62a64a675bab4fc6d4f16f968aff85b758a38e727cea0036e063b372d443cd1d611a3b652e6d9aaa0b548eef94284cb1a5f9475924462dde3b3
2025-04-18 17:48:13 | Order ID: BUG2504187FCAB | Amount: 800000 | URL: ?vnp_Amount=80000000&vnp_Command=pay&vnp_CreateDate=20250418174813&vnp_CurrCode=VND&vnp_IpAddr=%3A%3A1&vnp_Locale=vn&vnp_OrderInfo=Thanh+toan+don+hang+BUG2504187FCAB+tai+Bug+Shop&vnp_OrderType=other&vnp_ReturnUrl=&vnp_TmnCode=&vnp_TxnRef=BUG2504187FCAB&vnp_Version=2.1.0&vnp_SecureHash=957393a839c8a62a64a675bab4fc6d4f16f968aff85b758a38e727cea0036e063b372d443cd1d611a3b652e6d9aaa0b548eef94284cb1a5f9475924462dde3b3
2025-04-18 17:48:13 | Order ID: BUG2504187FCAB | Amount: 800000 | URL: ?vnp_Amount=80000000&vnp_Command=pay&vnp_CreateDate=20250418174813&vnp_CurrCode=VND&vnp_IpAddr=%3A%3A1&vnp_Locale=vn&vnp_OrderInfo=Thanh+toan+don+hang+BUG2504187FCAB+tai+Bug+Shop&vnp_OrderType=other&vnp_ReturnUrl=&vnp_TmnCode=&vnp_TxnRef=BUG2504187FCAB&vnp_Version=2.1.0&vnp_SecureHash=957393a839c8a62a64a675bab4fc6d4f16f968aff85b758a38e727cea0036e063b372d443cd1d611a3b652e6d9aaa0b548eef94284cb1a5f9475924462dde3b3
2025-04-18 17:48:13 | Order ID: BUG2504187FCAB | Amount: 800000 | URL: ?vnp_Amount=80000000&vnp_Command=pay&vnp_CreateDate=20250418174813&vnp_CurrCode=VND&vnp_IpAddr=%3A%3A1&vnp_Locale=vn&vnp_OrderInfo=Thanh+toan+don+hang+BUG2504187FCAB+tai+Bug+Shop&vnp_OrderType=other&vnp_ReturnUrl=&vnp_TmnCode=&vnp_TxnRef=BUG2504187FCAB&vnp_Version=2.1.0&vnp_SecureHash=957393a839c8a62a64a675bab4fc6d4f16f968aff85b758a38e727cea0036e063b372d443cd1d611a3b652e6d9aaa0b548eef94284cb1a5f9475924462dde3b3
2025-04-18 17:48:13 | Order ID: BUG2504187FCAB | Amount: 800000 | URL: ?vnp_Amount=80000000&vnp_Command=pay&vnp_CreateDate=20250418174813&vnp_CurrCode=VND&vnp_IpAddr=%3A%3A1&vnp_Locale=vn&vnp_OrderInfo=Thanh+toan+don+hang+BUG2504187FCAB+tai+Bug+Shop&vnp_OrderType=other&vnp_ReturnUrl=&vnp_TmnCode=&vnp_TxnRef=BUG2504187FCAB&vnp_Version=2.1.0&vnp_SecureHash=957393a839c8a62a64a675bab4fc6d4f16f968aff85b758a38e727cea0036e063b372d443cd1d611a3b652e6d9aaa0b548eef94284cb1a5f9475924462dde3b3
2025-04-18 17:48:14 | Order ID: BUG2504187FCAB | Amount: 800000 | URL: ?vnp_Amount=80000000&vnp_Command=pay&vnp_CreateDate=20250418174814&vnp_CurrCode=VND&vnp_IpAddr=%3A%3A1&vnp_Locale=vn&vnp_OrderInfo=Thanh+toan+don+hang+BUG2504187FCAB+tai+Bug+Shop&vnp_OrderType=other&vnp_ReturnUrl=&vnp_TmnCode=&vnp_TxnRef=BUG2504187FCAB&vnp_Version=2.1.0&vnp_SecureHash=249ced4a9132fea971b06b761849da1df218d773c6ffc34fe47a3f372d0b16f3e88c597df7809be02417c96b0b6615a32e9d4121b54607c964f7205a7fab8ef0
2025-04-18 17:48:14 | Order ID: BUG2504187FCAB | Amount: 800000 | URL: ?vnp_Amount=80000000&vnp_Command=pay&vnp_CreateDate=20250418174814&vnp_CurrCode=VND&vnp_IpAddr=%3A%3A1&vnp_Locale=vn&vnp_OrderInfo=Thanh+toan+don+hang+BUG2504187FCAB+tai+Bug+Shop&vnp_OrderType=other&vnp_ReturnUrl=&vnp_TmnCode=&vnp_TxnRef=BUG2504187FCAB&vnp_Version=2.1.0&vnp_SecureHash=249ced4a9132fea971b06b761849da1df218d773c6ffc34fe47a3f372d0b16f3e88c597df7809be02417c96b0b6615a32e9d4121b54607c964f7205a7fab8ef0
2025-04-18 17:48:14 | Order ID: BUG2504187FCAB | Amount: 800000 | URL: ?vnp_Amount=80000000&vnp_Command=pay&vnp_CreateDate=20250418174814&vnp_CurrCode=VND&vnp_IpAddr=%3A%3A1&vnp_Locale=vn&vnp_OrderInfo=Thanh+toan+don+hang+BUG2504187FCAB+tai+Bug+Shop&vnp_OrderType=other&vnp_ReturnUrl=&vnp_TmnCode=&vnp_TxnRef=BUG2504187FCAB&vnp_Version=2.1.0&vnp_SecureHash=249ced4a9132fea971b06b761849da1df218d773c6ffc34fe47a3f372d0b16f3e88c597df7809be02417c96b0b6615a32e9d4121b54607c964f7205a7fab8ef0
2025-04-18 17:48:14 | Order ID: BUG2504187FCAB | Amount: 800000 | URL: ?vnp_Amount=80000000&vnp_Command=pay&vnp_CreateDate=20250418174814&vnp_CurrCode=VND&vnp_IpAddr=%3A%3A1&vnp_Locale=vn&vnp_OrderInfo=Thanh+toan+don+hang+BUG2504187FCAB+tai+Bug+Shop&vnp_OrderType=other&vnp_ReturnUrl=&vnp_TmnCode=&vnp_TxnRef=BUG2504187FCAB&vnp_Version=2.1.0&vnp_SecureHash=249ced4a9132fea971b06b761849da1df218d773c6ffc34fe47a3f372d0b16f3e88c597df7809be02417c96b0b6615a32e9d4121b54607c964f7205a7fab8ef0
2025-04-18 17:48:15 | Order ID: BUG2504187FCAB | Amount: 800000 | URL: ?vnp_Amount=80000000&vnp_Command=pay&vnp_CreateDate=20250418174815&vnp_CurrCode=VND&vnp_IpAddr=%3A%3A1&vnp_Locale=vn&vnp_OrderInfo=Thanh+toan+don+hang+BUG2504187FCAB+tai+Bug+Shop&vnp_OrderType=other&vnp_ReturnUrl=&vnp_TmnCode=&vnp_TxnRef=BUG2504187FCAB&vnp_Version=2.1.0&vnp_SecureHash=cbe8892f11fcc5f10cda083277a676d88ef5587f03d7282440191d157b1e8c1f6712e67a672dba749e8ae62dc1d256898fb522b863868c01dec1ff393e8ea6ee
